"Item Number","Title","Title Notes","Author","Year","Exhibitor/Organizer/Publisher/Series","Pagination","Dimensions","LCCN","ISBN","Language","Binding","List Price","Library Disc.","Disc. Price","List Date","Country of Publication","List Number","Bulletin Number","Status","Plans","Region","Country","Period","Medium","Topic","Style","Collection","Artist","Comment","Brief title (for alphabetic sorting)","Author (alphabetic)","Key Language"
"38216","KAREL APPEL.","","Ed. by Choghakate Kazarian.","2017.","Musee d'Art moderne de la Ville de Paris. Organized in association with and published by Paris Musees. ","236 pp.","30 x 24 cm.","","ISBN 9782759603404","In French.","Paperbound","$65.00","","$65.00","December 2017","France","439","","In Stock","69,01,05,13,15,19,20","Western, Europe","Netherlands","Post-1945","Painting","","","","Appel, Karel","","KAREL APPEL","","French"
"38226","FACE A PICASSO","","","2017.","Musee Mohammed VI d'art moderne et contemporain, Rabat. Organized and published by Fondation nationale des musees du Maroc, Rabat, in association with Musee national Picasso-Paris. ","184 pp.","29 x 25 cm.","","ISBN 9782370740557","In French.","Hardcover","$57.50","","$57.50","December 2017","France","439","","In Stock","69,02,03,19","Western, Europe","Spain","1900-1945, Post-1945","Several Media","","","","Picasso, Pablo","","FACE A PICASSO","","French"
"38227","CAMILLE PISSARRO: IMPRESSIONS GRAVEES","","","2017.","Musee Tavet-Delacour, Pontoise.  Published by Somogy editions d'art, Paris.","136 pp.","29 x 23 cm.","","ISBN 9782757212387","In French.","Hardcover","$42.50","","$42.50","December 2017","France","439","","In Stock","69,02,04,19","Western, Europe","France","1800-1900","Graphic Arts (Prints)","","","","Pissarro, Camille","","CAMILLE PISSARRO IMPRESSIONS GRAVEES","","French"
"84244","JORG HARTIG: REALPOP.","","Berthold Ecker.","2017.","MUSA, Vienna.  Published by Walter de Gruyter, GmbH, Berlin.","","","","ISBN 9783110544664","Bilingual in English and German.","Paperbound","$39.99","10% disc.","$35.99","December 2017","Germany","439","","In Stock","73,75,65","Western, Europe","Austria","Post-1945","Painting","","","","Hartig, Jorg","Publisher's description: Throughout his life, Jorg Hartig has taken his inspiration from his immediate environment - from phenomena of modern civilization and culture. He particularly engaged with their issues and problems, which has added a strong component of contemporary criticism to his work. The richly illustrated book provides a comprehensive insight into the oeuvre and life of the artist.","JORG HARTIG REALPOP","Ecker, Berthold","English, German"
"178734","VINTAGE MODERN: DESIGN WITH A PAST.","","","2017.","Sandu Cultural Media Co., Ltd., Hong Kong.  Distributed in the U.S.A. by Gingko Press Inc., Berkeley.","240 pp. with 576 ills. (551 col.).","29 x 21 cm.","","ISBN 9781584236757","In English.","Hardcover","$45.00","10% disc.","$40.50","December 2017","000","439","","In Stock","73,30","Western, International (Western Style)","","Post-1945, Post-2000","Graphic Design","","","","","Publisher's description: Drawing inspiration from the past is fertile ground for designers, who often update classic iconography to create modern designs that evoke the charm of previous decades while staying true to a client's needs. These creatives blend the look and feel of vintage logos with retro clip art and period colors to respond to market trends and communicate a brands mission. With reverence and skill, the designers included in this volume have produced some of the most sophisticated designs to marry past and present seamlessly. From logos for clothing and bicycle companies, to restaurant or cafe branding and interiors, and packaging for food, wine, personal care and more.","VINTAGE MODERN DESIGN WITH A PAST","","English"
"179129","THE BUILDING SITE IN EIGHTEENTH-CENTURY IRELAND.","","Arthur Gibney.","2017.","Four Courts Press, Dublin.  ","296 pp. with 98 ills. (52 col.).","25 x 18 cm.","","ISBN 9781846826382","In English.","Hardcover","$50.00","","$50.00","December 2017","000","439","","In Stock","73,54,55","Western, Europe","Ireland","1600-1800","Architecture","","","","","Publisher's description: This study by the late Arthur Gibney takes you among laborers, craftspeople, contractors, builders, and designers as they populate the building sites of eighteenth-century Ireland. Gibney tells a story that has never been told so comprehensively before. What kind of contracts bound those involved? How much did it cost to bring a cargo of oak to the Dublin docks from Riga or Shillelagh (or fir from Trondheim) and what kind of roof trusses or floor framing was it used for? What was distinctively Irish about these structural features? What did plumbers do? How did roofers choose between slates and shingles and pantiles, and how did this choice affect the profile of a roof? Based on extensive documentary research and on a lifetime of experience of building and conservation, Gibney takes the interested layperson, the student, the architect, and the conservationist behind the facades to give us an understanding of paint colors-such as Venetian red and Spanish brown-the manufacture of stucco, the variations of Irish, English, and French glass, the composition of masonry walls, and much more in our great legacy of Georgian buildings.","BUILDING SITE IN EIGHTEENTH CENTURY IRELAND","Gibney, Arthur","English"
"179540","SAMUEL BECKETT AND CONTEMPORARY ART.","","Ed. by Robert Reginio et al.","2017.","Ibidem-Verlag, Stuttgart. Samuel Beckett in Company, 2. ISSN 2365-3809. Distributed in the U.S.A. by Columbia University Press, New York.","368 pp. with 34 ills. (32 col.).","21 x 15 cm.","","ISBN 9783838210797","In English.","Paperbound","$50.00","","$50.00","December 2017","000","439","","In Stock","71","Western, Europe","Ireland","Post-1945","Several Media","","","","Beckett, Samuel","Publisher's description: This groundbreaking collection from scholars and artists on the legacy of Beckett in contemporary art provides readers with a unique view of this important writer for page, stage, and screen. The volume argues that Beckett is more than an influence on contemporary art -- he is, in fact, a contemporary artist, working alongside artists across disciplines in the 1960s, 1970s, and beyond. The volume explores Beckett's formal experiments in drama, prose, and other media as contemporary, parallel revisions of modernism's theoretical presuppositions congruent with trends like minimalism and conceptual art. Containing interviews with and pieces by working artists, alongside contributions of scholars of literature and the visual arts, this collection offers an essential reassessment of Beckett's work. Perceiving Beckett's ongoing importance from the perspective of contemporary art practices, dominated by installation and conceptual strategies, it offers a completely new frame through which to read perennial Beckettian themes of impotence, failure, and penury. From Beckett's remains, as it were, contemporary artists find endless inspiration.","SAMUEL BECKETT AND CONTEMPORARY ART","Reginio, Robert","English"
"181502","REPTILES & AMPHIBIANS IN CONTEMPORARY ART.","","E. Ashley Rooney.","2017.","Schiffer Publishing Ltd., Atglen.  ","112 pp. with 144 col. ills.","21 x 24 cm.","LC 2017-935742","ISBN 9780764354441","In English.","Hardcover","$24.99","","$24.99","December 2017","000","439","","In Stock","73","Western","United States","Post-1945, Post-2000","Several Media","","","","","Publisher's description: The reptiles and amphibians surrounding us are more than 17,000 species of fascinating and beautiful wildlife that many of us usually ignore. In this colorfully illustrated book, 20 artists have taken those cold-blooded animals as inspiration and transformed them into pieces of art that change the way we perceive our world. The unusual shapes, glittering colors, and perfectly adapted bodies of chameleons, turtles, snakes, frogs, and even dinosaurs offer us new ways to see and be inspired, in media ranging from fiber to glass and from paper to gold.","REPTILES & AMPHIBIANS IN CONTEMPORARY ART","Rooney, E. Ashley","English"
"181674","RECONSTRUCTION AND THE SYNTHESIS OF THE ARTS IN FRANCE, 1944-1962.","","Nicola Pezolet.","2017.","Routledge, Taylor & Francis Group, New York.  ","244 pp. with 110 ills. (25 col.).","","","ISBN 9781138686878","In English.","Hardcover","$140.00","10% disc.","$126.00","December 2017","000","","","In Stock","73","","","","","","","","","Publisher's description: Reconstruction and the Synthesis of the Arts in France, 1944-1962 considers the artistic, architectural and bureaucratic shifts that emerged in the troubled aftermath of World War II and in the first years old the Cold War. Focused on the modernist networks surrounding Le Corbusier, the Salon des Realites Nouvelles, Groupe Espace, as well as on more radical neo-avant-garde groups such as the Situationist International, this book casts new light on various artistic collaborations amidst the French rebuilding efforts. It asks a series of critical questions such as, how did the synthesis of the arts discourse lead to a rethinking of the aesthetics of public space in postwar France? And how did it participate in the physical reconstruction and modernization of French towns? Finally, it investigates how the avant-garde language of abstraction and polychromy can be re-envisioned in the context of advanced capitalism, and the ways in which it was complicit, and resistant, to various governmental, corporate and industrial projects.","","Pezolet, Nicola",""
"182203","URBAN BIODIVERSITY: FROM RESEARCH TO PRACTICE.","","Alessandro Ossola and Jari Niemela.","2017.","Routledge, Taylor & Francis Group, New York.  ","248 pp. with 55 ills.","","","ISBN 9781138224391","In English.","Paperbound","$49.95","10% disc.","$44.95","December 2017","000","","","In Stock","73","","","","","","","","","For the hardcover edition, see Worldwide 182202. Publisher's description: Urban biodiversity is an increasingly popular topic among researchers. Worldwide, thousands of research projects are unravelling how urbanisation impacts the biodiversity of cities and towns, as well as its benefits for people and the environment through ecosystem services. Exciting scientific discoveries are made on a daily basis. However, researchers often lack time and opportunity to communicate these findings to the community and those in charge of managing, planning and designing for urban biodiversity. On the other hand, urban practitioners frequently ask researchers for more comprehensible information and actionable tools to guide their actions based on more objective scientific bases. This book is designed to fill this cultural and communicative gap by discussing a selection of topics related to urban biodiversity, as well as its benefits for people and the urban environment. It provides an interdisciplinary overview of scientifically-grounded knowledge vital for current and future practitioners in charge of urban biodiversity management, its conservation and integration into urban planning.","URBAN BIODIVERSITY FROM RESEARCH TO PRACTICE","Ossola, Alessandro",""
"182402","AMERICAN FURNITURE: 1650 TO THE PRESENT.","","Oscar P. Fitzgerald.","2017.","Rowman & Littlefield Publishers, Inc., Lanham.  ","630 pp.","","","ISBN 9781442270381","In English.","Hardcover","$130.00","10% disc.","$117.00","December 2017","000","","","In Stock","73","","","","","","","","","","AMERICAN FURNITURE 1650 TO THE PRESENT","Fitzgerald, Oscar P.",""
"182586","THE POTEMKIN VILLAGE: GREGOR SAILER.","","","2017.","Kehrer Verlag, Heidelberg.  ","304 pp. with 165 col. ills.","30 x 25 cm.","","ISBN 9783868288278","In English.","Paperbound","$65.00","10% disc.","$58.50","December 2017","000","439","","In Stock","73","","","","","","","","Sailer, Gregor","Publisher's description: According to legend, the phrase ""Potemkin village"" can be traced back to the Russian field marshal Prince Grigory Aleksandrovich Potemkin. In 1787, the minion of Catherine the Great purportedly had entire villages erected as painted façades along the paths of her travels to the recently conquered Crimean territory in an effort to veil the true, run-down face of the region. Following Closed Cities (Kehrer 2012), Gregor Sailer's new project once again presents actual architectural manifestations driven by political, military, and economic motives: combat training centers in the USA and Europe, faithful replicas of European cities in China, and vehicle test cities in Sweden. And finally, a classical Potemkin village in Russia, where, on the occasion of a visit by Vladimir Putin to Suzdal on the Golden Ring and a triple summit in the city of Ufa, whole streets were masked with adhesive foil, wallpaper, and tarpaulins in an effort to provide the abandoned buildings with a feigned sense of activity. Sailer's pictures give the viewer access to the world of fakes, copies, and stage sets and call these at times absurd aberrations of our contemporary society into question.","POTEMKIN VILLAGE GREGOR SAILER","",""
