Item Number,Title,Title Notes,Author,Year,Exhibitor/Organizer/Publisher/Series,Pagination,Dimensions,LCCN,ISBN,Language,Binding,List Price,Library Disc.,Disc. Price,List Date,Country of Publication,List Number,Bulletin Number,Status,Plans,Region,Country,Period,Medium,Topic,Style,Collection,Artist,Comment,Brief title (for alphabetic sorting),Author (alphabetic),Key Language
37219,MICHAEL HEIZER: ALTARS.,,Ruth Fine.,2015,"Gagosian Gallery, New York. Published 2016. Distributed by Rizzoli International Publications, Inc., New York.",232 pp.,29 x 26 cm.,,ISBN 9780847847679,In English.,Hardcover,$100.00 ,20% disc.,$80.00 ,Aug-17,United States,435,,In Stock,"70,02,03,20,22,55",Western,United States,"Post-1945, Post-1970","Sculpture, Several Media",,,,"Heizer, Michael","Publisher's description: Created in close collaboration with the artist, this beautiful new book not only presents Michael Heizer's first exhibition with Gagosian Gallery in New York, but also firmly establishes the artist's reputation as a legendary sculptor. Working largely outside the confines of the gallery and museum world, Heizer has redefined sculpture in terms of size, mass, gesture, and process. Heizer's work City, an enormous complex in the rural desert of Lincoln County, Nevada, was recently designated Federally Protected Land. He draws on both ancient and contemporary architecture and art, cultivating tons of materials, including dirt, rock, and steel, in his quest to create a ""permanent American art."" This book, which features beautiful images of rarely or never-before-seen early paintings, the Altar series of new monumental steel sculptures, and negative wall sculptures of metamorphic and igneous rocks, serves to illustrate this quest.",MICHAEL HEIZER ALTARS,"Fine, Ruth",English
37243,WIM DELVOYE.,,,2016,"Tehran Museum of Contemporary Art.  Published by Recta Publishers, Ghent.",184 pp. with 190 ills. (187 col.).,31 x 25 cm.,,ISBN 9789082364712,Bilingual in English and Arabic.,Hardcover,$65.00 ,,$65.00 ,Aug-17,Belgium,435,,In Stock,"69,01,05,07,13,20","Western, Europe",Belgium,"Post-1945, Post-2000",Sculpture,,,,"Delvoye, Wim",,WIM DELVOYE,,English
37643,FRA BARTOLOMMEO: THE DIVINE RENAISSANCE.,,Albert J. Elen et al.,2016,"Museum Boijmans Van Beuningen, Rotterdam.  ",240 pp. with 308 ills. (305 col.).,28 x 23 cm.,,ISBN 9789096182940,In English.,Paperbound,$65.00 ,,$65.00 ,Aug-17,Netherlands,435,,In Stock,"69,01,06,07,08,13,15,28","Western, Europe",Italy,1400-1600,Drawing and Watercolor,,,,Fra Bartolommeo,,FRA BARTOLOMMEO THE DIVINE RENAISSANCE,"Elen, Albert J.",English
37875,MASKROS/DANDELION: CECILIA EDEFALK.,,,2016,"Prins Eugens Waldemarsudde, Stockholm.  Published in association with Art and Theory Publishing, Stockholm.",200 pp.,29 x 22 cm.,,ISBN 9789186265304,Bilingual in Swedish and English.,Paperbound,$59.95 ,,$59.95 ,Aug-17,Sweden,435,,In Stock,"69,02,03,20","Western, Europe","Sweden, Scandinavia","Post-1945, Post-1970, Post-1990",Several Media,Women Artists,,,"Edefalk, Cecilia",,MASKROS DANDELION CECILIA EDEFALK,,English
37877,"PAINTING BEAUTY: CAESAR VAN EVERDINGEN, 1616/1617-1678.",,Ed. by Christi M. Klinkert and Yvonne Bleyerveld.,2016,"Stedelijk Museum, Alkmaar.  Published by Waanders Uitgevers, Zwolle.",208 pp.,27 x 23 cm.,,ISBN 9789462621084,In English.,Paperbound,$34.95 ,,$34.95 ,Aug-17,Netherlands,435,,In Stock,"69,02,04","Western, Europe",Netherlands,1600-1800,Painting,,,,"Everdingen, Caesar van",,PAINTING BEAUTY CAESAR VAN EVERDINGEN 1616 1617 1678,"Klinkert, Christi M.",English
37900,JOE BRADLEY.,,Janne Siren.,2017,"Albright-Knox Art Gallery, Buffalo.  Distributed by Artbook|D.A.P., New York.",200 pp. with 110 ills. (100 col.).,32 x 24 cm.,,ISBN 9781887457224,In English.,Hardcover,$50.00 ,10% disc.,$45.00 ,Aug-17,United States,435,,In Stock,"73,01,05,07,13,17,20,22,55",Western,United States,"Post-1945, Post-2000",Painting,,,,"Bradley, Joe","Publisher's description: A midcareer survey of paintings by the popular stylistic chameleon. American painter Joe Bradley has distinguished himself among the artists of his generation with his mutable approach to art-making. With minimal fuss, Bradley works in series, picking up and discarding styles and oscillating between abstraction and figuration as it suits him. ""A retrospective of his work would look like a group show,"" wrote dealer and collector Kenny Schachter. Bradley's first large-scale North American exhibition supports this observation: he is shown moving from expressionistic canvases that record the detritus and spontaneity of the studio environment to subtly figurative send-ups of Minimalist painting, then to starkly primitivistic glyphs drawn in grease pencil on unprimed canvas, followed by modular aluminum sculptures paired with textual directives. This richly illustrated catalog, published to accompany Bradley's midcareer survey organized by the Albright-Knox Art Gallery in Buffalo, presents the full range of Bradley's unique approach to language, abstraction and the evolutions of style.",JOE BRADLEY,"Siren, Janne",English
37921,JOANA HADJITHOMAS AND KHALIL JOREIGE: TWO SUNS IN A SUNSET/SE SOUVENIR DE LA LUMIERE.,,Hoor Al Qasimi.,2016,"Sharjah Art Foundation. Organized and published in association with Jeu de Paume, Paris; Haus der Kunst, Munich; Institut Valencia d'Art Modern; and Koenig Books, London. Distributed in the U.S.A. by Artbook|D.A.P., New York.",688 pp. with 1460 ills. (1397 col.).,26 x 19 cm.,,ISBN 9783863359867,"Trilingual in English, French and Arabic.",Hardcover,$55.00 ,10% disc.,$49.50 ,Aug-17,Great Britain,435,,In Stock,73,"Western, Non-Western in a Western Style, Middle East and North Africa (Western Style)",Lebanon,"Post-1945, Post-2000",Video/Film/Performance,Women Artists,,,"Hadjithomas, Joana; Joreige, Khalil","Publisher's description: Inspired by found objects, personal archives and poetic experiences, Lebanese artists and filmmakers Joana Hadjithomas and Khalil Joreige invent a unique way of navigating between art and film. Their documentaries, fictional films, photography, art installations, texts and performances develop narratives around stories kept secret, acting as a resistance to official history. Functioning as a guide for an exhibition traveling between Sharjah, Paris, Munich and Valencia as well as a monograph, Two Suns in a Sunset, written in the three languages of the artists -- English, French and Arabic -- surveys a three-decade-long collaboration, which includes the 21 works and 6 full-length films.",JOANA HADJITHOMAS AND KHALIL JOREIGE TWO SUNS IN A SUNSET SE SOU,,"English, French"
37930,KIEFER RODIN.,,,2017,"Musee Rodin, Paris. Organized and published in association with Barnes Foundation, Philadelphia. Published in association with Editions Gallimard, Paris. Distributed in the U.S.A. by Antique Collectors' Club, New York.",288 pp.,28 x 22 cm.,,ISBN 9782072730023,In English.,Hardcover,$45.00 ,10% disc.,$40.50 ,Aug-17,France,435,,In Stock,"73,01,05,07,08,13,15,17,20","Western, Europe","France, Germany","1800-1900, 1900-1945, Post-1945, Post-2000","Drawing and Watercolor, Sculpture",,,,"Kiefer, Anselm; Rodin, Auguste",,KIEFER RODIN,,English
37935,"LIVING, BUILDING, THINKING: ART & EXPRESSIONISM/VIVRE, BATIR, PENSER: L'ART & L'EXPRESSIONNISME.",,,2015,"McMaster Museum of Art, Hamilton.  ",200 pp. with 228 ills. (217 col.).,30 x 24 cm.,,ISBN 9781926632162,Bilingual in English and French.,Paperbound,$55.00 ,,$55.00 ,Aug-17,Canada,435,,In Stock,"69,01,05,07,15,17,55","Western, International (Western Style)",Germany,"Several Periods, 1900-1945",Several Media,,Expressionism,,,,LIVING BUILDING THINKING ART & EXPRESSIONISM VIVRE BATIR PENSER,,"English, French"
37939,SCULPTURES MADE OF PAPER.,,Marc Gundel and Kerstein Skrobanek.,2017,"Stadtische Museen Heilbronn Kunsthalle Vogelmann. Published by Snoeck Verlagsgesellschaft, Cologne. Distributed in the U.S.A. by Ram Publications, Santa Monica.",144 pp.,32 x 22 cm.,,ISBN 9783864421945,Bilingual in English and German.,Paperbound,$55.00 ,10% disc.,$49.50 ,Aug-17,Germany,435,,In Stock,"73,01,05,15,20","Western, International (Western Style)",,Post-1945,Sculpture,,,,,"Publisher's description: As early as 1912, Pablo Picasso introduced paper as a modern sculptural material with Guitar. In the 1930s, Kurt Schwitters constructed his famous three-dimensional collage Merzbau. Since then, paper has become an indispensable material in sculptural works. And yet there is no real ""tradition"" of paper sculpture. Rather, paper appears as a working material whenever artists break with tradition. Gigantic works by Charlotte Posenenske resemble industrial components and serve as caricatures of the monumental aspects of 19th-century sculpture. Erwin Heerich's cardboard pieces, constructed according to mathematical schemata, can be enlarged and turned into buildings. Meanwhile Dieter Roth attacked any notions of timelessness or eternal validity with his ""literature sausages"" by pressing softened books and magazines into sausage casings, turning them into sculptural objects. Other artists featured in this book include Karla Black, Dan Flavin, Raymond Hains, Thomas Hirschhorn, Isamu Noguchi, Robert Rauschenberg, Jacques de la Villegle and Wolf Vostell.",SCULPTURES MADE OF PAPER,"Gundel, Marc","English, German"
