Item Number,Title,Title Notes,Author,Year,Exhibitor/Organizer/Publisher/Series,Pagination,Dimensions,LCCN,ISBN,Language,Binding,List Price,Library Disc.,Disc. Price,List Date,Country of Publication,List Number,Bulletin Number,Status,Plans,Region,Country,Period,Medium,Topic,Style,Collection,Artist,Comment,Brief title (for alphabetic sorting),Author (alphabetic),Key Language
37971,SAPPERS & SHRAPNEL: CONTEMPORARY ART AND THE ART OF THE TRENCHES.,,Lisa Slade.,2016,"Art Gallery of South Australia, Adelaide.  ",212 pp. with 165 ills. (154 col.) and 81 col. reference ills.,28 x 22 cm.,,ISBN 9781921668289,In English.,Hardcover,$49.95 ,,$49.95 ,Sep-17,Australia,436,,In Stock,"69,02,03,20,55",Western,Australia,"1900-1945, Post-1945",Several Media,,,,,,SAPPERS & SHRAPNEL CONTEMPORARY ART AND THE ART OF THE TRENCHES,"Slade, Lisa",English
84006,SPECTACLE AND LEISURE IN PARIS: DEGAS TO MUCHA.,,Elizabeth C. Childs.,2017,"Mildred Lane Kemper Art Museum, Washington University, St. Louis.  Distributed by University of Chicago Press.",96 pp.,28 x 22 cm.,,ISBN 9780936316437,In English.,Paperbound,$30.00 ,,$30.00 ,Sep-17,United States,436,,In Stock,"71,75,55","Western, Europe",France,1800-1900,Graphic Arts (Prints),,,,,"Publisher's description: Through the lens of seven scholars, this book examines fine art and commercial design as they both reflected and helped create the vibrant culture of public spectacle in late nineteenth-century Paris. Posters and prints circulated across the city, as the new art form of cinema flourished, all part of a diverse urban climate of leisure that was particularly French. These rich visual materials served to promote the careers and talents of such celebrities as Jane Avril, Loie Fuller, and Sarah Bernhardt. Alphonse Mucha and Henri de Toulouse-Lautrec developed the potential of color lithography to meet the demands of these stars, while fine artists ranging from Edgar Degas and Edouard Manet to Pablo Picasso and Edouard Vuillard focused on such spectacles as the racetrack, ballet, cafe-concert, theater, and opera, asserting them as defining elements of Parisian modernity in this image-saturated milieu.",SPECTACLE AND LEISURE IN PARIS DEGAS TO MUCHA,"Childs, Elizabeth C.",English
84043,IT'S ALIVE! CLASSIC HORROR AND SCI-FI MOVIE POSTERS -- FROM THE KIRK HAMMETT COLLECTION.,,Daniel Finamore.,2017,"Peabody Essex Museum, Salem. Published in association with Skira Rizzoli, Rizzoli International Publications, Inc., New York. ",120 pp.,31 x 24 cm.,,ISBN 9780847860982,In English.,Hardcover,$30.00 ,20% disc.,$24.00 ,Sep-17,United States,436,,In Stock,"70,75,55",Western,United States,"1900-1945, Post-1945",,Posters,,Hammett,,"Publisher's description: One of the world's premier collections of horror and sci-fi movie posters amassed, not altogether surprisingly, by the dark mind of Metallica's lead guitarist, Kirk Hammett. Before Kirk Hammett assumed the heavy metal mantle of one of the most successful and beloved bands in rock history, he was a geek for the imaginative universe of horror. This generously illustrated book highlights the finest examples from Hammett's personal collection -- an astonishing trove of horror and sci-fi film posters that span the history of the genre. The guitarist credits his musical force to a lifelong fascination with the gothic fantasy developed in these films and their original posters. In this volume, several intriguing essays cover the history of the film poster, the brain's response to fear, and Hammett's own contributions to the world of the macabre.",IT S ALIVE CLASSIC HORROR AND SCI FI MOVIE POSTERS FROM THE KIRK,"Finamore, Daniel",English
84055,WILLIAM HENRY HUNT: COUNTRY PEOPLE.,,Joanna Selbourne and Barnaby Wright.,2017,"Courtauld Gallery, Courtauld Institute of Art, University of London. Published by Paul Holberton Publishing, London. ",72 pp.,21 x 21 cm.,,ISBN 9781911300236,In English.,Paperbound,$16.95 ,10% disc.,$15.25 ,Sep-17,Great Britain,436,,In Stock,"73,75,55","Western, Europe",Great Britain,1800-1900,Drawing and Watercolor,,,,"Hunt, William Henry","Publisher's description: Accompanying an exhibition that will be the first to investigate the depiction of rural figures by one of the most admired British watercolorists of the 19th century, William Henry Hunt. Taking its lead from W.H. Hunt's watercolor The Head Gardener, c. 1825, that is part of The Courtauld Gallery's permanent collection, this focused display will be first to investigate Hunt's depiction of rural figures in his work of the 1820s and 1830s. Consisting of twenty drawings borrowed from collections across the United Kingdom, William Henry Hunt: Country People will bring together watercolors depicting country people in their working or living environments, from farmer and gamekeeper to stonebreaker and gleaner. The representation of these country men, women and children, closely observed, raises questions about their status and way of life at a time of rapid agricultural and social change. These profound changes are also reflected in the literature of the period. William Henry Hunt was one of the most admired watercolorists of the 19th century. Better known as 'Bird's Nest Hunt' for his intricate still lives of flowers, fruit and birds' eggs, he exhibited prolifically at the Old Water Colour Society. His works were sought after by collectors, notably John Ruskin, a serious champion of his work.'",WILLIAM HENRY HUNT COUNTRY PEOPLE,"Selbourne, Joanna",English
84094,THE PAINTED BIRD: DREAMS AND NIGHTMARES OF EUROPE.,,Marie Aly.,2017,"Valiz, Amsterdam.  Distributed in the U.S.A. by Artbook|D.A.P., New York.",240 pp. with 210 ills. (200 col.).,24 x 18 cm.,,ISBN 9789492095367,In English.,Hardcover,$29.95 ,10% disc.,$26.95 ,Sep-17,Netherlands,436,,In Stock,"73,75,65","Western, Europe",Netherlands,"Post-1945, Post-2000",Painting,,,,,"Publisher's description: Nearly 20 artists came together to create a Gesamtkunstwerk installation addressing the precarious state of Europe. This volume documents the project, which includes works by Marie Aly, Cian-Yu Bai, Kim David Bots, Bonno van Doorn, Gijs Frieling, Natasja Kensmil, Klaas Kloosterboer, Mirthe Kluck and others.",PAINTED BIRD DREAMS AND NIGHTMARES OF EUROPE,"Aly, Marie",English
178604,NEW FINANCIAL STRATEGIES FOR SUSTAINABLE BUILDINGS,,Stephen Finnegan.,2018,"Routledge, Taylor & Francis Group, New York, 2017. Copyright.  ",130 pp. with 20 ills.,23 x 16 cm.,LC 2017-5844,ISBN 9781138680265,In English.,Hardcover,$99.95 ,10% disc.,$89.95 ,Sep-17,0,436,,In Stock,73,"Western, International (Western Style)",,"Post-1945, Post-2000",Architecture,,,,,"For the paperbound edition, see Worldwide 178605. Publisher's description: Built environment professionals considering whether to embark on the design and construction or retrofit of a fully 'sustainable' or 'green' build need to know the financial implications of their decisions. What are their financial options? What are the risks? This book offers practical guidance on how sustainable building projects are financed, designed and built. All too often sustainable building is undertaken without proper consideration of the true lifecycle cost, risk and financial impact. This book will take the reader on a journey from initial sustainable design through to final completion highlighting the finance options available to them. New Financial Strategies for Sustainable Buildings provides key guidance to a variety of professionals, including architects, designers, contractors, construction managers, investors and other interested parties, whilst providing a useful reference to students on architecture, construction management and real estate/surveying courses who need to know about finance, construction economics, and sustainable development projects.",NEW FINANCIAL STRATEGIES FOR SUSTAINABLE BUILDINGS PRACTICAL GUI,"Finnegan, Stephen",English
178615,REDEFINING BRUTALISM.,,Simon Henley.,2017,"RIBA Publishing, Royal Institute of British Architects, London.  Distributed in the U.S.A. by Taylor & Francis Group, New York.",240 pp. with 128 ills. (52 col.).,22 x 20 cm.,,ISBN 9781859465776,In English.,Paperbound,$44.95 ,10% disc.,$40.45 ,Sep-17,0,436,,In Stock,"73,54,55","Western, Europe",Great Britain,Post-1945,Architecture,,,,,"Publisher's description: There is a genuine resurgence of interest in this period of architecture. Brutalism is a highly debated topic in the architectural press and amongst architectural critics and institutions who promote the preservation of these buildings. This book is unique in combining beautiful, highly illustrated design with description of both British and International brutalist buildings and architects, alongside analysis of the present and future of brutalism. Not just be a historical tome, this book discusses brutalism as a living and evolving entity.",REDEFINING BRUTALISM,"Simon, Henley",English
179974,KHAJURAHO: INDIAN TEMPLES AND SENSUOUS SCULPTURES.,,Gilles Beguin.,2017,"5 Continents Editions, Milan.  Distributed in the U.S.A. by Abrams, New York.",284 pp. with 282 ills. (261 col.).,35 x 26 cm.,,ISBN 9788874397785,In English.,Hardcover,$80.00 ,20% disc.,$64.00 ,Sep-17,0,436,,In Stock,70,"Non-Western (Traditional/Native Arts), Asia (Traditional)",India,,"Architecture, Relief",,,,,"Large format. Publisher's description: The temples of Khajuraho are one of the great wonders of India. Built between about 850 and 1150, Khajuraho is renowned as much for the elegance of its architecture as for the sensuality of its sculpture. Once an important political and religious center, it is thought to have contained up to 95 Hindu and Jain temples, but today, only 25 survive -- many with stunning depictions of human sexuality. The area has undergone restoration since being rediscovered in the early 19th century, and today is a UNESCO World Heritage Site. Here, acclaimed scholar Gilles Beguin leads readers through a tour of these amazing temples, all newly photographed by Iago Corazza.",KHAJURAHO INDIAN TEMPLES AND SENSUOUS SCULPTURES,"Beguin, Gilles",English
180245,THE MODERNS: MIDCENTURY AMERICAN GRAPHIC DESIGN.,,Steven Heller.,2017,"Abrams, New York.  ",336 pp.,29 x 24 cm.,,ISBN 9781419724015,In English.,Hardcover,$55.00 ,20% disc.,$44.00 ,Sep-17,0,,,In Stock,70,,,,,,,,,"Publisher's description: In The Moderns, we meet the men and women who invented and shaped Midcentury Modern graphic design in America. The book is made up of generously illustrated profiles, many based on interviews, of more than 60 designers whose magazine, book, and record covers; advertisements and package designs; posters; and other projects created the visual aesthetics of postwar modernity. Some were emigres from Europe; others were homegrown -- all were intoxicated by elemental typography, primary colors, photography, and geometric or biomorphic forms. Some are well-known, others are honored in this volume for the first time, and together they comprised a movement that changed our design world.",THE MODERNS MIDCENTURY AMERICAN GRAPHIC DESIGN,"Heller, Steven",
180561,ONAGO ROOM: SHIORI KAWAMOTO.,,,2016,Genkosha.  ,256 pp. with 318 col. ills. and 102 col. reference ills.,25 x 19 cm.,,ISBN 9784768307540,Bilingual in Japanese and English.,Paperbound,$39.95 ,10% disc.,$35.95 ,Sep-17,0,436,,In Stock,"73,55","Western, Non-Western in a Western Style, Asia (Western Style)",Japan,"Post-1945, Post-2000",Photography,Women Artists,,,"Kawamoto, Shiori","Publisher's description: Onago room, which means 'Girls' Room' in Japanese, shows the rooms of 102 Japanese women in Tokyo or Osaka who have all dedicated their very limited living space to their personal obsession. In this book, you can see the real lives of various people including white-collar workers, unemployed people, singers, models, assistant comics artists, game designers, radio DJs and more. With full photographs of all kinds of rooms, this book will be a good collection of rooms for illustrators or a special gift for geeks.",ONAGO ROOM SHIORI KAWAMOTO,,English
