"Item Number","Title","Title Notes","Author","Year","Exhibitor/Organizer/Publisher/Series","Pagination","Dimensions","LCCN","ISBN","Language","Binding","List Price","Library Disc.","Disc. Price","List Date","Country of Publication","List Number","Bulletin Number","Status","Plans","Region","Country","Period","Medium","Topic","Style","Collection","Artist","Comment","Brief title (for alphabetic sorting)","Author (alphabetic)","Key Language"
"17454","IN THE IMAGE OF MAN: THE INDIAN PERCEPTION OF THE UNIVERSE THROUGH 2000 YEARS OF PAINTING AND SCULPTURE.","","","1982.","Hayward Gallery, London.  Published by Arts Council of Great Britain, London. Published in the USA by Alpine Fine Arts Collection, Ltd., New York.","232 pp. with 449 ills. (53 col.).","29 x 23 cm.","","ISBN 0933516525","In English.","Paperbound","$36.85","","$36.85","","000","043","Vol. 19-2","In Stock","01,06,07,08,09,10,11,15,33,80","Non-Western (Traditional/Native Arts), Asia (Traditional)","India","","Painting, Sculpture","","","","","Was $55.00; save 33%!","IN THE IMAGE OF MAN THE INDIAN PERCEPTION OF THE UNIVERSE THROUG","","English"
"18723","TREASURES OF THE OLD WEST: PAINTINGS AND SCULPTURE FROM THE THOMAS GILCREASE INSTITUTE OF AMERICAN HISTORY AND ART.","","Peter H. Hassrick.","1984.","Denver Art Museum. Organized in association with Buffalo Bill Historical Center, Cody. Published by Harry N. Abrams, Inc., Publishers, New York.","128 pp. with 90 ills. (41 col.).","29 x 24 cm.","LC 83-13519","ISBN 0810917815","In English.","Hardcover","$26.25","","$26.25","December 1999","United States","060","Vol. 20-4","In Stock","01,06,07,17,22,33,80,44","Western","United States","1800-1900","Painting","","","","","Was $35.00; save 25%!","TREASURES OF THE OLD WEST PAINTINGS AND SCULPTURE FROM THE THOMA","","English"
"20285","JACQUES DE GHEYN II, 1565-1629, ALS TEKENAAR","(Jacques de Gheyn II, 1565-1629, as Draughtsman).","","1985.","Museum Boymans-van Beuningen, Rotterdam.  ","196 pp. with 118 ills.","28 x 22 cm.","","ISBN 9069180073","In Dutch.","Paperbound","$20.63","","$20.63","March 2020","Netherlands","088","Vol. 22-4","In Stock","01,06,13,15,33,80","Western, Europe","Netherlands","1600-1800","Drawing and Watercolor","","","","Gheyn, Jacques II de","Was $27.50; save 25%!","JACQUES DE GHEYN II 1565 1629 ALS TEKENAAR","",""
"20628","PAINTING IN SCOTLAND: THE GOLDEN AGE.","","Duncan Macmillan.","1986.","Talbot Rice Art Centre, University of Edinburgh.  Published in association with Tate Gallery, London, and Phaidon Press Limited, Oxford.","206 pp. with 156 ills. (48 col.).","29 x 22 cm.","LC 86-233574","ISBN 0714824011","In English.","Hardcover","$23.45","","$23.45","","Great Britain","092","Vol. 23-2","In Stock","01,06,07,08,09,15,33,80","Western, Europe","Great Britain, Scotland","1600-1800, 1800-1900","Painting","","","","","Was $35.00; save 33%!","PAINTING IN SCOTLAND THE GOLDEN AGE","","English"
"21158","MOMENTAUFNAHME","(Quick Takes).","","1987.","Staatliche Kunsthalle, Berlin.  ","436 pp. with 271 ills. (138 col., 9 foldout).","32 x 24 cm.","LC 87-175808","ISBN 3875842973","In German.","Paperbound","$24.46","","$24.46","","Germany","106","","In Stock","01,05,15,20,33,80","Western, Europe","Germany","Post-1945, Post-1970","Painting","","","","","Was $36.50; save 33%!","MOMENTAUFNAHME","","German"
"24625","NINETEENTH-CENTURY GERMAN, AUSTRIAN AND HUNGARIAN DRAWINGS FROM BUDAPEST.","","Terez Gerszi and Zsuzsa Gonda.","1994.","Cleveland Museum of Art. Organized (in association with Magyar Nemzeti Galeria, Budapest, and Szepmuveszeti Muzeum, Budapest) and published by Art Services International, Alexandria. ","240 pp. with 181 ills. (99 col.).","31 x 23 cm.","LC 94-16212","ISBN 0883971119","In English.","Paperbound","$29.96","","$29.96","","United States","177","","In Stock","01,06,07,17,33,80","Western, Europe","","1800-1900","Drawing and Watercolor","","","","","Was $39.95; save 25%!","NINETEENTH CENTURY GERMAN AUSTRIAN AND HUNGARIAN DRAWINGS FROM B","Gerszi, Terez","English"
"24787","JAPANESE IMPERIAL CRAFTSMEN: MEIJI ART FROM THE KHALILI COLLECTION.","","Victor Harris.","1994.","British Museum, London.  ","144 pp. with 135 ills. (130 col.) and 59 reference ills.","28 x 22 cm.","","ISBN 0714114634","In English.","Paperbound","$23.96","","$23.96","","Great Britain","181","","In Stock","01,06,07,15,21,33,80","Non-Western (Traditional/Native Arts), Asia (Traditional)","Japan","1800-1900","","","","Khalili","","Was $31.95; save 25%!","JAPANESE IMPERIAL CRAFTSMEN MEIJI ART FROM THE KHALILI COLLECTIO","Harris, Victor","English"
"25831","TWO HUNDRED YEARS OF ENGLISH NAIVE ART, 1700-1900.","","James Ayres.","1996.","Fraunces Tavern Museum, New York. Organized and published by Art Services International, Alexandria. ","192 pp. with 149 ills. (117 col.).","25 x 22 cm.","LC 96-18681","ISBN 0883971208","In English.","Paperbound","$23.45","","$23.45","January 1997","United States","198","","In Stock","02,04,33,80","Western, Europe","Great Britain","1800-1900","Several Media","Naive/Folk/Outsider Art","","","","Was $35.00; save 33%!","TWO HUNDRED YEARS OF ENGLISH NAIVE ART 1700 1900","Ayres, James","English"
"27516","THE FANTASTICAL WORLD OF CROATIAN NAIVE ART.","","Vladimir Crnkovic et al.","2000.","Museum of Fine Arts, St.Petersburg.  ","184 pp. with 111 ills. (101 col.).","28 x 22 cm.","LC 00-332041","ISBN 1878390031","In English.","Paperbound","$21.00","","$21.00","August 2000","United States","231","","In Stock","01,05,07,17,20,33,44,80","Western, Europe","Croatia","Post-1945","Painting","Naive/Folk/Outsider Art","","","","Was $35.00; save 40%!","FANTASTICAL WORLD OF CROATIAN NAIVE ART","Crnkovic, Vladimir","English"
"27775","LE MOIS DE LA PHOTO A MONTREAL 1999: LE SOUCI DU DOCUMENT","(The Month of Photography in Montreal 1999: The Concern of the Document).","","1999.","Concurrently at 15 different locations throughout Montreal. Organized by VOX, centre de diffusion de la photographie, Montreal. Published by Editions Les 400 Coups, Laval.","240 pp. with 94 ills. (55 col.).","28 x 23 cm.","","ISBN 2921620677","In French; essays also in English.","Paperbound","$28.13","","$28.13","March 2001","Canada","238","","In Stock","01,05,15,17,19,20,25,33,80","Western, International (Western Style)","","Post-1945, Post-1970, Post-1990","Photography","","","","","Was $37.50; save 25%!","MOIS DE LA PHOTO A MONTREAL 1999 LE SOUCI DU DOCUMENT","","English, French"
